architecture,dataset,noise,alpha,run_id,loss,prefix_length,sampling_strategy,train_accuracy,test_accuracy,train_distance,test_distance,train_similarity_scaled,test_similarity_scaled,train_satisfiability,test_satisfiability,nr_epochs,training_time
LSTM,BPIC_2013_closed,10,0.05,6,baseline,3,greedy,0.9746683776,0.9724633396,0.4440677966,0.298245614,0.9553672285,0.9722550585,0.8406779766,0.9956140518,1584,53.3813226926
LSTM,BPIC_2013_closed,10,0.05,6,GLL,1,temperature,0.9532780588,0.9263117313,2.7661016949,2.7412280702,0.5662815999,0.5632551281,0.9779660702,1.0,573,295.8924421151
LSTM,BPIC_2013_closed,10,0.05,6,GLL,1,greedy,0.9532780588,0.9263117313,2.8169491525,2.7894736842,0.5583027802,0.5552141924,0.9779660702,1.0,573,295.8924421151
LSTM,BPIC_2013_closed,10,0.05,6,GLL,2,temperature,0.9532780588,0.9263117313,1.1050847458,0.5833333333,0.844151583,0.9225822654,0.9542372823,1.0,573,295.8924421151
LSTM,BPIC_2013_closed,10,0.05,6,GLL,2,greedy,0.9532780588,0.9263117313,1.1,0.5789473684,0.8447569099,0.9228955486,0.9542372823,1.0,573,295.8924421151
LSTM,BPIC_2013_closed,10,0.05,6,GLL,3,temperature,0.9532780588,0.9263117313,0.5491525424,0.3684210526,0.9366717606,0.9579832679,0.8711864352,1.0,573,295.8924421151
LSTM,BPIC_2013_closed,10,0.05,6,GLL,3,greedy,0.9532780588,0.9263117313,0.5508474576,0.3684210526,0.9364296299,0.9579832679,0.8711864352,1.0,573,295.8924421151
LSTM,BPIC_2013_closed,10,0.05,6,LLL,1,temperature,0.9687372506,0.9756703228,1.786440678,1.25,0.7291984385,0.8145332853,0.9745762348,1.0,547,28.615257883
LSTM,BPIC_2013_closed,10,0.05,6,LLL,1,greedy,0.9687372506,0.9756703228,1.3389830508,0.8026315789,0.7830090386,0.8822164428,0.9779660702,1.0,547,28.615257883
LSTM,BPIC_2013_closed,10,0.05,6,LLL,2,temperature,0.9687372506,0.9756703228,1.1593220339,0.7061403509,0.8699740045,0.9319669071,0.9508474469,0.9912281036,547,28.615257883
LSTM,BPIC_2013_closed,10,0.05,6,LLL,2,greedy,0.9687372506,0.9756703228,0.7644067797,0.3815789474,0.8977440842,0.9600207855,0.9542372823,1.0,547,28.615257883
LSTM,BPIC_2013_closed,10,0.05,6,LLL,3,temperature,0.9687372506,0.9756703228,0.8694915254,0.5526315789,0.925354922,0.95166041,0.8644067645,0.9956140518,547,28.615257883
LSTM,BPIC_2013_closed,10,0.05,6,LLL,3,greedy,0.9687372506,0.9756703228,0.5084745763,0.2807017544,0.9456766178,0.974169567,0.8711864352,1.0,547,28.615257883
LSTM,BPIC_2013_closed,10,0.05,7,baseline,1,temperature,0.9744898021,0.9713782668,1.7203389831,1.3859649123,0.7279713485,0.7888409099,0.8661016822,0.8991228342,1611,54.7848474248
LSTM,BPIC_2013_closed,10,0.05,7,baseline,1,greedy,0.9744898021,0.9713782668,1.3423728814,0.8464912281,0.7852225172,0.8740461774,0.9559322,1.0,1611,54.7848474248
LSTM,BPIC_2013_closed,10,0.05,7,baseline,2,temperature,0.9744898021,0.9713782668,1.0898305085,0.7280701754,0.8761986094,0.9190061333,0.8186440468,0.9561403394,1611,54.7848474248
LSTM,BPIC_2013_closed,10,0.05,7,baseline,2,greedy,0.9744898021,0.9713782668,0.7,0.4210526316,0.9094854078,0.9524353154,0.9016948938,1.0,1611,54.7848474248
LSTM,BPIC_2013_closed,10,0.05,7,baseline,3,temperature,0.9744898021,0.9713782668,0.5593220339,0.451754386,0.9488606477,0.9566524997,0.8101694584,0.9780701995,1611,54.7848474248
LSTM,BPIC_2013_closed,10,0.05,7,baseline,3,greedy,0.9744898021,0.9713782668,0.4440677966,0.298245614,0.9553672285,0.9722550585,0.8406779766,0.9956140518,1611,54.7848474248
LSTM,BPIC_2013_closed,10,0.05,7,GLL,1,temperature,0.9518048465,0.9267457575,2.7762711864,2.7368421053,0.5652835443,0.564342917,0.9779660702,1.0,546,282.2080280581
LSTM,BPIC_2013_closed,10,0.05,7,GLL,1,greedy,0.9518048465,0.9267457575,2.7152542373,2.6622807018,0.5743049325,0.5761258466,0.9779660702,1.0,546,282.2080280581
LSTM,BPIC_2013_closed,10,0.05,7,GLL,2,temperature,0.9518048465,0.9267457575,1.0983050847,0.5789473684,0.8451362481,0.9228955486,0.9542372823,1.0,546,282.2080280581
LSTM,BPIC_2013_closed,10,0.05,7,GLL,2,greedy,0.9518048465,0.9267457575,1.0966101695,0.5789473684,0.845434876,0.9228955486,0.9542372823,1.0,546,282.2080280581
LSTM,BPIC_2013_closed,10,0.05,7,GLL,3,temperature,0.9518048465,0.9267457575,0.5474576271,0.3684210526,0.9371217203,0.9579832679,0.8711864352,1.0,546,282.2080280581
LSTM,BPIC_2013_closed,10,0.05,7,GLL,3,greedy,0.9518048465,0.9267457575,0.5457627119,0.3684210526,0.9372932295,0.9579832679,0.8711864352,1.0,546,282.2080280581
LSTM,BPIC_2013_closed,10,0.05,7,LLL,1,temperature,0.9687117279,0.9739824384,1.7796610169,1.3640350877,0.7206180191,0.7946608485,0.9779660702,1.0,543,28.5777016999
LSTM,BPIC_2013_closed,10,0.05,7,LLL,1,greedy,0.9687117279,0.9739824384,1.3779661017,0.8464912281,0.7781045457,0.8740461774,0.9779660702,1.0,543,28.5777016999
LSTM,BPIC_2013_closed,10,0.05,7,LLL,2,temperature,0.9687117279,0.9739824384,1.1542372881,0.7280701754,0.8710444315,0.9244303759,0.9508474469,0.9912281036,543,28.5777016999
LSTM,BPIC_2013_closed,10,0.05,7,LLL,2,greedy,0.9687117279,0.9739824384,0.7779661017,0.4254385965,0.8961546096,0.9517043213,0.9542372823,1.0,543,28.5777016999
LSTM,BPIC_2013_closed,10,0.05,7,LLL,3,temperature,0.9687117279,0.9739824384,0.7983050847,0.4912280702,0.9272305807,0.9563263478,0.8694915175,0.9912281036,543,28.5777016999
LSTM,BPIC_2013_closed,10,0.05,7,LLL,3,greedy,0.9687117279,0.9739824384,0.5169491525,0.2763157895,0.9450435597,0.9746917056,0.8711864352,1.0,543,28.5777016999
LSTM,BPIC_2013_closed,10,0.05,8,baseline,1,temperature,0.9745790899,0.9718123078,1.6881355932,1.2412280702,0.7332021064,0.8082900402,0.8864406943,0.9166666865,1630,54.7293609218
LSTM,BPIC_2013_closed,10,0.05,8,baseline,1,greedy,0.9745790899,0.9718123078,1.3491525424,0.8464912281,0.7832451161,0.8740461774,0.9559322,1.0,1630,54.7293609218
LSTM,BPIC_2013_closed,10,0.05,8,baseline,2,temperature,0.9745790899,0.9718123078,1.0033898305,0.7675438596,0.8829906764,0.921250248,0.8474575877,0.9517543912,1630,54.7293609218
LSTM,BPIC_2013_closed,10,0.05,8,baseline,2,greedy,0.9745790899,0.9718123078,0.7033898305,0.4210526316,0.909061679,0.9524353154,0.8966101408,1.0,1630,54.7293609218
LSTM,BPIC_2013_closed,10,0.05,8,baseline,3,temperature,0.9745790899,0.9718123078,0.6898305085,0.5921052632,0.9388067386,0.9455992376,0.8118643761,0.9517543912,1630,54.7293609218
LSTM,BPIC_2013_closed,10,0.05,8,baseline,3,greedy,0.9745790899,0.9718123078,0.4440677966,0.298245614,0.9553672285,0.9722550585,0.8406779766,0.9956140518,1630,54.7293609218
LSTM,BPIC_2013_closed,10,0.05,8,GLL,1,temperature,0.9530484617,0.9267457575,2.7728813559,2.7456140351,0.5653830869,0.5625241339,0.9779660702,1.0,566,292.2773497282
LSTM,BPIC_2013_closed,10,0.05,8,GLL,1,greedy,0.9530484617,0.9267457575,2.8305084746,2.7894736842,0.5561370552,0.5552141924,0.9779660702,1.0,566,292.2773497282
LSTM,BPIC_2013_closed,10,0.05,8,GLL,2,temperature,0.9530484617,0.9267457575,1.106779661,0.5745614035,0.8438798585,0.9236265427,0.9542372823,1.0,566,292.2773497282
LSTM,BPIC_2013_closed,10,0.05,8,GLL,2,greedy,0.9530484617,0.9267457575,1.1,0.5789473684,0.8447569099,0.9228955486,0.9542372823,1.0,566,292.2773497282
LSTM,BPIC_2013_closed,10,0.05,8,GLL,3,temperature,0.9530484617,0.9267457575,0.5559322034,0.3684210526,0.9357738591,0.9579832679,0.8711864352,1.0,566,292.2773497282
LSTM,BPIC_2013_closed,10,0.05,8,GLL,3,greedy,0.9530484617,0.9267457575,0.5491525424,0.3684210526,0.9367121157,0.9579832679,0.8711864352,1.0,566,292.2773497282
